Postal Code,Score,Amenity Score,Shop Score,Tourism Score,Accessibility Score
6218TE,26.778332354349345,18.770754147454237,19.51279588481652,29.995506075146654,50.39204819923373
6228CT,26.77000106639149,24.38296880183461,16.998649730954273,31.875449850178388,41.95773594799999
6225CD,26.755292193484994,20.61050004208026,18.82086730132045,29.039834868688885,48.11453916211774
6215EH,26.72509126808674,21.18899776420766,18.353211906827216,31.168456193647224,46.44561882893656
6218VM,26.709234052119157,18.593088368571056,19.628284531442155,29.785871178547296,50.337836557386446
6219ND,26.707212699387867,19.79388202178624,20.792065781473084,31.653225973120453,45.2469208714477
6225GR,26.67995946538371,20.615591420712917,18.585841163634303,28.329691793679583,48.440061070396865
6213JG,26.67199839723789,21.843143320749792,17.944588718524713,34.63545609689401,43.754651218833345
6213HW,26.63636002102431,21.729484659693,17.889697234319367,34.212568689221165,44.09980829551753
6225GN,26.631552861974306,20.52550475730343,18.551466334673314,28.338349751536736,48.42849171461083
6213HR,26.61274853992876,21.668294045143167,17.862470393153227,33.99915460561492,44.253170581826176
6218VJ,26.606527829251828,18.593823988934894,19.430686872481484,29.777579973164205,50.12986260076281
6225EG,26.58019817062911,20.451583237526734,18.525209132281894,28.36511385142479,48.34880830451313
6223AL,26.5782186236691,20.29906529311287,20.643054986026947,31.78210135179746,43.75880894401685
6215JE,26.55732967410313,20.7620837848697,18.67394217205517,30.80845339577615,46.170139632059325
6225HG,26.555329645979132,20.59478054630255,18.500054911482152,28.152805821363287,48.083526956386706
6215RE,26.536760361998205,21.40821359170335,17.92795134602845,31.891911788648635,45.35358953450936
6215ER,26.53628920504896,21.27019655365276,17.959047585033453,31.314430232447407,45.869394000896534
6215KE,26.53505477260411,20.907469654570388,18.412668578299712,30.88774950390811,46.121662470535995
6222NT,26.532543269452667,20.249826483613056,19.50526923538963,30.480906083734663,45.98907063257887
6215EP,26.52145496197073,21.18500533258964,17.966822190543404,31.17697495573601,46.02360779929445
6213JH,26.488547630665217,21.719195297688103,17.825292125495615,34.61889357973087,43.28410522726781
6213JR,26.48750469420727,21.91973924017931,17.89349271364381,35.57806083194397,42.29598401726076
6218TC,26.47774143067877,18.556747139082713,19.23379848087861,29.739430002157448,49.88262525485567
6225EB,26.461342694124937,20.342385255248278,18.45744407290363,28.327814475918444,48.10073036040762
6218VB,26.44060109297465,18.379260148415828,19.56377544953952,29.613720211352064,49.62213255042839
6215ES,26.439098339885867,21.06242719267201,17.946355542370096,31.022798616474013,45.96997025951204
6225CB,26.400159274279417,20.288378836577667,18.556112857252742,28.708326747458095,47.56843076303659
6213JW,26.386700563286787,21.755318182944226,17.796539244502615,35.11150128750353,42.50588163568147
6218SL,26.35673572580366,18.542029966005618,19.09233374005221,29.672504064682336,49.56033314914069
6228BG,26.353093306194896,23.993783964717363,16.734441035260765,30.933426571042197,41.54522089099571
6225GV,26.33890820449476,20.419684074827288,18.338444793129476,27.930434428162727,47.71888144261875
6218RH,26.325364434205166,18.793286145276895,19.028820415204763,29.71241541663459,48.97825986599494
6218TG,26.318628686004953,18.38355148213618,19.15517320606265,29.53699258439702,49.662658070451336
6225HE,26.312717601955185,20.362337628351444,18.316063106533694,27.923015290329676,47.74155746261533
6213HP,26.30543793509673,21.348152408023342,17.630400007981137,33.4532483414156,43.99736743124027
6228BP,26.27436081170642,23.922316093569652,16.67922389543007,30.963860346162466,41.36707525384879
6213JN,26.23919288700294,21.579806508204655,17.67245577873944,34.737201336364734,42.50195747560241
6223AK,26.235639777903856,20.00295256056943,20.345933784206252,31.419534599634897,43.28674057854261
6215EL,26.203525666110373,20.809240904526746,17.86495661448018,30.72517932089576,45.5842648597693
6229PC,26.14356856782147,23.783737765074157,16.56511204073934,35.08202056792019,39.11061841404405
6225GP,26.14235266802738,20.11293422468527,18.173222563064904,27.811022058061685,47.66955625621021
6215ED,26.078812766469618,20.670031909424914,17.82836886717888,30.568035253199824,45.380448123222735
6225AP,26.05747857325012,20.252019331777227,18.12982506750214,27.606253275628845,47.139856340050116
6213JL,26.049195853969273,21.34523068089333,17.509269262499995,34.213254259658996,42.53987634763507
6225HD,26.04839093957742,20.097685092729392,18.11209470537751,27.675910533395005,47.39542748437125
6225GM,26.03920518578224,19.99929431155625,18.098240690683184,27.74342162918658,47.533885868849154
6215AE,25.995535113051506,21.03132378313125,17.408604791131108,32.885738212315594,43.717530058948455
6213JT,25.987801844487915,21.483268418012432,17.52472308208385,35.0739901131808,41.50715944623699
6223BH,25.982020187641595,19.621052879713595,20.16614568713643,31.115033540679896,43.22039175194721
6225CN,25.95478512894535,19.893129186086238,18.153119382930875,28.077884285046686,47.079897932347215
6223BE,25.91947095049669,19.685956872891662,20.084986101006944,31.08675967039968,42.91766412781561
6215JD,25.9165913781368,20.23826190457608,18.159650897425944,30.19320370548404,45.13361884694768
6218RV,25.90604312137686,18.15968116734069,18.74770416213867,29.221771217105392,48.84234154919329
6225NB,25.89674106994504,20.228234477611203,18.014452011601044,27.383911900012574,46.678120017467116
6215RW,25.89018884135762,20.884226079486982,17.447131979456294,31.77723567297907,43.988107631861425
6213JP,25.885299125193395,21.295175751937442,17.421758165035346,34.49230070736744,41.822596715640294
6218TH,25.876748504231724,18.018690968602247,18.80442298215437,29.10405602942757,48.953478296585786
6213JK,25.857976999530713,21.202161182086407,17.37873394765663,34.12972890813204,42.119562953842234
6218SE,25.84529786509997,18.09901101246536,18.70477116335919,29.1566244635807,48.76076475752422
6225CE,25.83796646338559,19.781398858221248,18.140109904207364,28.188194081199537,46.691002144596325
6218VA,25.83523694113701,17.90399481802392,18.885321870827916,28.970641694315177,48.92329323746786
6215EC,25.825132749142142,20.463293262995958,17.629830582494893,30.330360332427823,44.958191120987244
6228GB,25.79901170498719,23.473876980829065,16.3753960071415,31.50925223922495,40.10027402222122
6215RN,25.773969680622375,20.772363877357737,17.37102939196935,31.47811157243579,43.90179186713585
6215BV,25.767630415933255,20.648854403211367,17.40071670397136,30.640717582019523,44.491680869018275
6215SE,25.740951006054274,20.760521274713167,17.33386983643702,31.715229269488315,43.699649445251104
6223AT,25.727463242288636,19.600262636616765,19.893677307172915,30.862193951641043,42.540386161472576
6215RK,25.72280662400577,20.712889453565282,17.340571010220863,31.180370675428485,43.962714603699006
6228CX,25.70731391328943,23.391527390852904,16.29674328591903,30.64908521495677,40.360337918658374
6215BX,25.68856597974803,20.54192857703921,17.357191263586113,30.480526216910256,44.46058741782416
6228GC,25.659107950313533,23.3401143590821,16.271142476852372,31.18752636317366,39.99435920549809
6228CZ,25.658594844996585,23.34700282585148,16.267138815697688,30.52093136620808,40.317352140235116
6212NA,25.586786083603528,23.969718847115843,16.31437813580662,40.28897153873966,33.76253223378663
6222NV,25.581929232172374,19.412415106309442,18.729383962105715,29.48419592330959,44.63304125603481
